sample_name	ampicillin_RIS	gentamicin_RIS	linezolid_RIS	quinupristin_dalfopristin_RIS	streptomycin_RIS	teicoplanin_RIS	tigecycline_RIS	vancomycin_RIS
1352.9909	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.991	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.9911	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.9912	I/R	NA	NA	NA	NA	NA	NA	S
1352.9913	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.9914	I/R	NA	NA	NA	NA	NA	NA	S
1352.9915	I/R	NA	NA	NA	NA	NA	NA	S
1352.9916	I/R	NA	NA	NA	NA	NA	NA	S
1352.9918	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.9919	I/R	NA	NA	NA	NA	NA	NA	S
1352.9921	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.9922	I/R	NA	NA	NA	NA	NA	NA	S
1352.9923	I/R	NA	NA	NA	NA	NA	NA	S
1352.9925	I/R	NA	NA	NA	NA	NA	NA	S
1352.9926	I/R	NA	NA	NA	NA	NA	NA	S
1352.9927	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.1001	I/R	NA	NA	NA	NA	NA	NA	S
1352.9928	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10011	I/R	NA	NA	NA	NA	NA	NA	S
1352.10013	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10044	I/R	NA	NA	NA	NA	NA	NA	S
1352.10043	I/R	NA	NA	NA	NA	NA	NA	S
1352.10042	I/R	NA	NA	NA	NA	NA	NA	S
1352.1004	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10039	I/R	NA	NA	NA	NA	NA	NA	S
1352.10038	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10037	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10036	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10035	I/R	NA	NA	NA	NA	NA	NA	S
1352.10034	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10033	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10032	I/R	NA	NA	NA	NA	NA	NA	S
1352.10031	S	NA	NA	NA	NA	NA	NA	S
1352.1003	I/R	NA	NA	NA	NA	NA	NA	S
1352.10029	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10028	I/R	NA	NA	NA	NA	NA	NA	S
1352.10027	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10026	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10025	I/R	NA	NA	NA	NA	NA	NA	S
1352.10024	S	NA	NA	NA	NA	NA	NA	S
1352.10023	I/R	NA	NA	NA	NA	NA	NA	S
1352.10022	I/R	NA	NA	NA	NA	NA	NA	S
1352.1002	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10019	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10018	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10017	I/R	NA	NA	NA	NA	NA	NA	S
1352.10016	I/R	NA	NA	NA	NA	NA	NA	S
1352.10015	I/R	NA	NA	NA	NA	NA	NA	S
1352.10014	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10012	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.9929	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.993	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.9931	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.9903	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.9999	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.9998	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.9997	I/R	NA	NA	NA	NA	NA	NA	S
1352.9996	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.9995	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.9994	I/R	NA	NA	NA	NA	NA	NA	S
1352.9993	I/R	NA	NA	NA	NA	NA	NA	S
1352.9991	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.999	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.9989	I/R	NA	NA	NA	NA	NA	NA	S
1352.9988	I/R	NA	NA	NA	NA	NA	NA	S
1352.9987	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.9986	I/R	NA	NA	NA	NA	NA	NA	S
1352.9985	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.9984	I/R	NA	NA	NA	NA	NA	NA	S
1352.9983	I/R	NA	NA	NA	NA	NA	NA	S
1352.9982	I/R	NA	NA	NA	NA	NA	NA	S
1352.9981	I/R	NA	NA	NA	NA	NA	NA	S
1352.9979	I/R	NA	NA	NA	NA	NA	NA	S
1352.9978	I/R	NA	NA	NA	NA	NA	NA	S
1352.9977	I/R	NA	NA	NA	NA	NA	NA	S
1352.9976	I/R	NA	NA	NA	NA	NA	NA	S
1352.9975	I/R	NA	NA	NA	NA	NA	NA	S
1352.9974	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.9973	I/R	NA	NA	NA	NA	NA	NA	S
1352.9971	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.997	I/R	NA	NA	NA	NA	NA	NA	S
1352.9968	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10461	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.9967	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.9966	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.9963	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.9932	I/R	NA	NA	NA	NA	NA	NA	S
1352.9933	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.9934	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.9936	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.9937	I/R	NA	NA	NA	NA	NA	NA	S
