sample_name	amoxicillin	ampicillin	ceftriaxone	ciprofloxacin	gentamicin	levofloxacin	tetracycline	tobramycin
562.65246	susceptible	resistant	NA	NA	NA	NA	NA	NA
562.65299	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65298	susceptible	resistant	NA	NA	NA	NA	NA	NA
562.65297	NA	resistant	NA	NA	NA	NA	NA	NA
562.65296	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65295	NA	resistant	NA	NA	NA	NA	NA	NA
562.65294	NA	resistant	NA	NA	NA	NA	NA	NA
562.65293	NA	resistant	NA	NA	NA	NA	NA	NA
562.65292	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65291	NA	resistant	NA	NA	NA	NA	NA	NA
562.6529	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65289	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65288	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65287	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65286	NA	resistant	NA	NA	NA	NA	NA	NA
562.65285	susceptible	resistant	NA	NA	NA	NA	NA	NA
562.653	NA	resistant	NA	NA	NA	NA	NA	NA
562.65284	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65301	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65303	NA	resistant	NA	NA	NA	NA	NA	NA
562.65319	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65318	NA	resistant	NA	NA	NA	NA	NA	NA
562.65317	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65316	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65314	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65313	NA	resistant	NA	NA	NA	NA	NA	NA
562.65312	susceptible	susceptible	NA	NA	NA	NA	NA	NA
562.65311	NA	resistant	NA	NA	NA	NA	NA	NA
562.6531	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65309	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65308	NA	resistant	NA	NA	NA	NA	NA	NA
562.65307	NA	resistant	NA	NA	NA	NA	NA	NA
562.65306	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65305	NA	resistant	NA	NA	NA	NA	NA	NA
562.65304	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65302	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65459	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65283	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65281	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65261	NA	resistant	NA	NA	NA	NA	NA	NA
562.6526	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65259	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65258	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65257	NA	resistant	NA	NA	NA	NA	NA	NA
562.65256	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65255	susceptible	susceptible	NA	NA	NA	NA	NA	NA
562.65254	NA	resistant	NA	NA	NA	NA	NA	NA
562.65253	NA	resistant	NA	NA	NA	NA	NA	NA
562.65252	NA	resistant	NA	NA	NA	NA	NA	NA
562.65251	NA	resistant	NA	NA	NA	NA	NA	NA
562.6525	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65249	NA	resistant	NA	NA	NA	NA	NA	NA
562.65248	NA	resistant	NA	NA	NA	NA	NA	NA
562.65247	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65262	susceptible	susceptible	NA	NA	NA	NA	NA	NA
562.65282	susceptible	resistant	NA	NA	NA	NA	NA	NA
562.65263	susceptible	susceptible	NA	NA	NA	NA	NA	NA
562.65265	susceptible	resistant	NA	NA	NA	NA	NA	NA
562.6528	NA	resistant	NA	NA	NA	NA	NA	NA
562.65279	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65278	NA	resistant	NA	NA	NA	NA	NA	NA
562.65277	NA	resistant	NA	NA	NA	NA	NA	NA
562.65276	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65275	NA	resistant	NA	NA	NA	NA	NA	NA
562.65274	NA	resistant	NA	NA	NA	NA	NA	NA
562.65273	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65272	NA	resistant	NA	NA	NA	NA	NA	NA
562.65271	NA	resistant	NA	NA	NA	NA	NA	NA
562.6527	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65269	susceptible	resistant	NA	NA	NA	NA	NA	NA
562.65268	susceptible	resistant	NA	NA	NA	NA	NA	NA
562.65267	susceptible	susceptible	NA	NA	NA	NA	NA	NA
562.65266	NA	resistant	NA	NA	NA	NA	NA	NA
562.65264	NA	resistant	NA	NA	NA	NA	NA	NA
562.6546	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65464	susceptible	resistant	NA	NA	NA	NA	NA	NA
562.65462	susceptible	susceptible	NA	NA	NA	NA	NA	NA
562.65636	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65635	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65634	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65633	resistant	resistant	NA	NA	NA	NA	NA	NA
