sample_name	ampicillin_RIS	gentamicin_RIS	linezolid_RIS	quinupristin_dalfopristin_RIS	streptomycin_RIS	teicoplanin_RIS	tigecycline_RIS	vancomycin_RIS
1352.9973	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9971	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.997	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9968	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10461	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.9967	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.9966	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.9963	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.9932	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9933	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.9934	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.9936	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.9937	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9938	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.9939	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.994	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.9941	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9942	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.9943	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9944	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.9945	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.9946	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10045	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.9947	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.9949	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.995	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.9951	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9952	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9953	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9954	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.9955	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9956	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9957	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9958	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9959	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.996	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.9961	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.9962	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.9948	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10181	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10046	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10048	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10146	intermediate	NA	NA	NA	NA	NA	NA	susceptible
1352.1014500000001	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10144	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10143	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10142	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10141	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.1014	intermediate	NA	NA	NA	NA	NA	NA	susceptible
1352.10139	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10138	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10137	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.1013600000001	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10135	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10134	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10133	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10132	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10131	susceptible	NA	NA	NA	NA	NA	NA	susceptible
