sample_name	cleaned_host
SRR28981002	cattle
SRR28981003	cattle
SRR28981004	cattle
SRR28981005	cattle
SRR28981006	cattle
SRR28981007	cattle
SRR28981008	cattle
SRR28981009	cattle
SRR28981010	cattle
SRR28981011	cattle
SRR28981012	cattle
SRR28981013	cattle
SRR28981014	cattle
SRR28981015	cattle
SRR28981016	cattle
SRR28981017	cattle
SRR28981018	cattle
SRR28981019	cattle
SRR28981020	cattle
SRR28981021	cattle
SRR28981022	cattle
SRR28981023	cattle
SRR28981024	cattle
SRR28981025	cattle
SRR28981026	cattle
SRR28981027	cattle
SRR28981028	raccoon
SRR28981029	chicken
SRR28981030	chicken
SRR28981031	domestic cat
SRR28981032	domestic cat
SRR28981033	domestic cat
SRR28981034	turkey
SRR28981035	turkey
SRR28981036	domestic cat
SRR28981037	cattle
SRR28981038	cattle
SRR28981039	domestic cat
SRR29740685	cattle
SRR29740689	cattle
SRR29740694	cat
SRR29740697	cattle
SRR29740698	cattle
SRR29740706	cattle
SRR29740711	cattle
SRR29740715	cattle
SRR29740718	cattle
SRR29740719	cattle
SRR29740720	cattle
SRR29740722	cattle
SRR29740723	cattle
SRR29740724	cattle
SRR29740726	cattle
SRR29740728	cattle
SRR29740729	cattle
SRR29740730	cattle
SRR29740736	chicken
SRR29740742	cattle
SRR29740743	cattle
SRR29740744	cattle
SRR29740747	cattle
SRR29740749	cattle
SRR29740753	cattle
SRR29455573	cattle
SRR29455574	cattle
SRR29455575	cattle
SRR29455577	cattle
SRR29455579	cattle
SRR29455580	cattle
SRR29455594	cattle
SRR29455595	cattle
SRR29455596	cattle
SRR29455601	cattle
SRR29455602	cattle
SRR29455605	cattle
SRR29455607	cattle
SRR29455608	cattle
SRR29455609	cattle
SRR29455617	cattle
SRR29455618	cattle
SRR29455619	cattle
SRR29455620	cattle
SRR29455622	cattle
SRR29455623	cattle
SRR29455624	cattle
SRR29455625	cattle
SRR29455626	cattle
SRR29455629	cattle
SRR29455630	cattle
SRR29455632	cattle
SRR29455635	cattle
SRR29455636	cattle
SRR29455637	cattle
SRR29455638	cattle
SRR29455639	cattle
SRR29455644	cattle
SRR29543293	turkey
SRR29543294	cattle
